,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-28,309000.0,1112,310112.0,0.0,BUY,BUY, ,3166.0,3442.362081335338,2889.637918664662,-38.851641739728215,42.22222222222222
1,2019-01-29,350000.0,1610,310112.0,38278.0, ,SELL,SELL,3173.5,3476.3052179206957,2870.6947820793043,87.80826073765874,100.0
2,2019-02-25,361000.0,1299,362299.0,0.0,BUY,BUY, ,3611.0,3942.2944309824725,3279.7055690175275,-7.933955183874596,23.333333333333332
3,2019-04-02,370000.0,1702,362299.0,5999.0, ,SELL,SELL,3576.0,3694.0508365069904,3457.9491634930096,59.440945751850286,100.0
4,2019-04-24,370000.0,1332,371332.0,0.0,BUY,BUY, ,3670.0,3812.8285685708574,3527.1714314291426,-100.32095369096787,100.0
5,2019-04-25,370000.0,1702,371332.0,-3034.0,SELL,SELL,SELL,3680.0,3800.000000000001,3559.999999999999,43.94353369763191,100.0
6,2019-05-17,399000.0,1436,400436.0,0.0, , ,BUY,3929.5,4198.087043619011,3660.9129563809897,34.62749213011542,16.470588235294116
7,2019-05-20,399000.0,1835,400436.0,-3271.0,SELL,SELL, ,3944.0,4191.98387044322,3696.016129556779,32.53968253968242,0.0
8,2019-05-21,399000.0,1436,400436.0,0.0, , ,BUY,3958.5,4180.245349443906,3736.7546505560936,26.05363984674305,0.0
9,2019-05-22,399000.0,1835,400436.0,-3271.0,SELL,SELL, ,3973.0,4160.52066552783,3785.47933447217,16.302462712452098,0.0
10,2019-05-23,399000.0,1436,400436.0,0.0, , ,BUY,3987.5,4127.052857369529,3847.947142630471,1.8977904297137183,0.0
11,2019-06-12,480000.0,2208,400436.0,77356.0, , ,SELL,4003.0,4375.0268807492275,3630.973119250772,576.4781491002569,100.0
12,2019-06-17,400000.0,1440,401440.0,0.0,BUY, , ,4079.0,4660.752524704449,3497.2474752955513,30.13009327442325,27.272727272727273
13,2019-06-27,410000.0,1886,401440.0,6674.0,SELL,SELL, ,4088.0,4666.15568837468,3509.84431162532,8.468552001236345,36.36363636363637
14,2019-07-01,400000.0,1440,401440.0,0.0,BUY,BUY, ,4101.0,4670.101045509495,3531.8989544905053,-34.50035074293727,27.272727272727273
15,2019-07-10,410000.0,1886,401440.0,6674.0, ,SELL,SELL,4060.0,4538.121323515277,3581.878676484723,0.3650967506387864,100.0
16,2019-07-12,401000.0,1443,402443.0,0.0,BUY, , ,3990.5,4130.7105559506845,3850.289444049315,-218.81805211383977,90.0
17,2019-07-15,401000.0,1844,402443.0,-3287.0,SELL,SELL,SELL,3991.0,4131.413674547745,3850.5863254522546,32.971451548049735,90.0
18,2019-07-17,380000.0,1368,381368.0,0.0,BUY,BUY, ,3981.5,4144.873804509781,3818.126195490219,-140.24732996065208,66.66666666666667
19,2019-07-23,400000.0,1840,381368.0,16792.0,SELL,SELL,SELL,3959.0,4145.644046248468,3772.355953751532,41.970234759324896,88.88888888888889
20,2019-08-28,472000.0,1699,473699.0,0.0, , ,BUY,4709.5,4819.858506695225,4599.141493304775,32.499999999999986,0.0
21,2019-08-29,472000.0,2171,473699.0,-3870.0,SELL,SELL, ,4718.0,4800.607505712253,4635.392494287747,26.88172043010645,0.0
22,2019-08-30,472000.0,1699,473699.0,0.0, , ,BUY,4716.5,4797.808056181414,4635.191943818586,20.443520443521482,0.0
23,2019-09-05,475000.0,2185,473699.0,-884.0, ,SELL,SELL,4723.5,4765.105288125429,4681.894711874571,4.576659038901621,100.0
24,2019-09-09,474000.0,1706,475706.0,0.0,BUY,BUY, ,4723.5,4765.105288125429,4681.894711874571,-66.0377358490531,90.9090909090909
25,2019-09-10,474000.0,2180,475706.0,-3886.0,SELL,SELL,SELL,4723.5,4765.105288125429,4681.894711874571,91.19496855346307,90.9090909090909
26,2019-09-27,473000.0,1702,474702.0,0.0, , ,BUY,4729.0,4771.379240200834,4686.620759799166,15.889464594130038,0.0
27,2019-09-30,473000.0,2175,474702.0,-3877.0, ,SELL, ,4731.5,4767.430488446443,4695.569511553557,7.130124777186956,0.0
28,2019-10-01,472000.0,1699,473699.0,0.0,BUY,BUY,BUY,4733.5,4761.266886753829,4705.733113246171,-73.56321839080053,0.0
29,2019-10-14,474000.0,2180,473699.0,-1879.0, ,SELL, ,4726.5,4746.773134932712,4706.226865067288,55.880441845349104,75.0
30,2019-10-17,472000.0,1699,473699.0,0.0,BUY,BUY, ,4725.0,4743.439088914584,4706.560911085416,-40.57971014493025,25.0
31,2019-11-04,475000.0,2185,473699.0,-884.0, ,SELL,SELL,4646.0,4835.039678374673,4456.960321625327,19.102990033222596,100.0
32,2019-11-06,460000.0,1656,461656.0,0.0,BUY,BUY, ,4641.5,4831.054741433708,4451.945258566292,-19.525801952579933,55.88235294117647
33,2019-11-14,475000.0,2185,461656.0,11159.0,SELL,SELL,SELL,4611.5,4778.38618876348,4444.61381123652,172.6190476190461,87.17948717948718
34,2019-12-18,484000.0,1742,485742.0,0.0, , ,BUY,4817.5,4897.967384697155,4737.032615302845,40.12345679012427,0.0
35,2019-12-19,484000.0,2226,485742.0,-3968.0,SELL,SELL, ,4822.0,4896.726166769076,4747.273833230924,36.42793987621672,0.0
36,2019-12-20,484000.0,1742,485742.0,0.0, , ,BUY,4826.5,4893.812703110185,4759.187296889815,32.56212510711347,0.0
37,2019-12-23,484000.0,2226,485742.0,-3968.0,SELL,SELL, ,4831.0,4888.58472019555,4773.41527980445,27.848820687696985,0.0
