,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-30,107500.0,387,107887.0,0.0, ,BUY,BUY,56.79371378819135,-94.49259155717135,12.903225806451612
1,2019-02-08,125000.0,575,107887.0,16538.0, ,SELL,SELL,69.50651922503475,170.85610200364312,97.5
2,2019-03-08,119000.0,428,119428.0,0.0, ,BUY,BUY,41.60796205303832,-76.92307692307693,9.090909090909092
3,2019-06-11,105000.0,483,119428.0,-14911.0, ,SELL,SELL,75.67939855608435,163.58405260994653,90.9090909090909
4,2019-07-08,107000.0,385,107385.0,0.0, ,BUY,BUY,52.93749288791481,-32.96703296703246,16.0
5,2019-07-17,113500.0,522,107385.0,5593.0, ,SELL,SELL,50.046155785225196,63.93678160919495,93.33333333333333
6,2019-07-26,108500.0,390,108890.0,0.0, ,BUY,BUY,53.24436208854412,-60.60606060606068,15.0
7,2019-10-18,100500.0,462,108890.0,-8852.0, ,SELL,SELL,41.24866627685252,54.26356589147306,92.3076923076923
8,2019-10-31,97500.0,351,97851.0,0.0, ,BUY,BUY,56.1823856925763,-14.786242365798957,17.647058823529413
9,2019-12-11,95000.0,437,97851.0,-3288.0, ,SELL,SELL,38.88501647453055,59.29919137466309,82.3529411764706
