,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-04-11,61000.0,219,61219.0,0.0, ,BUY,BUY,BUY,58.69879838094029,714.75,797.6037868778477,631.8962131221523,-126.12137203166203,0.0
1,2019-05-23,49200.0,226,61219.0,-12245.0, , ,SELL,SELL,59.36426671201328,474.65,516.6893862942842,432.61061370571576,52.00291892307084,100.0
2,2019-06-12,47400.0,170,47570.0,0.0,BUY,BUY,BUY, ,10.151605419231913,486.4,515.837391188759,456.9626088112409,-25.12471655328771,32.0
3,2019-06-14,49000.0,225,47570.0,1205.0, ,SELL,SELL,SELL,24.821957645072274,486.4,518.4399750312017,454.3600249687982,14.565186348707758,80.0
4,2019-06-18,47000.0,169,47169.0,0.0,BUY,BUY,BUY, ,19.660841523529456,487.0,518.5594676761195,455.4405323238805,-109.27803844407454,40.0
5,2019-07-05,50000.0,230,47169.0,2601.0, ,SELL,SELL,SELL,72.5902717041337,479.0,503.9639740426088,454.0360259573912,107.2664359861592,100.0
6,2019-08-02,46800.0,168,46968.0,0.0, ,BUY, ,BUY,32.54540634095045,493.1,508.808596372688,477.39140362731206,-211.15065243179131,4.545454545454546
7,2019-08-23,49400.0,227,46968.0,2205.0, ,SELL,SELL,SELL,25.71430849833733,488.5,506.85755975068673,470.14244024931327,58.54387394729659,85.0
8,2019-08-28,45800.0,164,45964.0,0.0, ,BUY,BUY,BUY,31.886006981182447,486.65,508.2488425615827,465.05115743841725,-137.81425035821295,0.0
9,2019-10-25,38400.0,176,45964.0,-7740.0, , ,SELL,SELL,55.23042291872844,352.9,384.20431280191644,321.5956871980835,97.08222811671064,100.0
10,2019-11-04,34600.0,124,34724.0,0.0,BUY,BUY,BUY, ,19.947016525797906,352.4,382.3492904757397,322.4507095242603,-40.687679083094366,20.833333333333332
11,2019-11-21,33000.0,151,34724.0,-1875.0, , , ,SELL,1.0442397433022705,335.7,397.967487503514,273.43251249648597,-48.48484848484839,81.81818181818181
12,2019-11-22,33200.0,119,33319.0,0.0,BUY,BUY,BUY, ,1.2446436975206154,333.1,391.2924393714534,274.90756062854666,-37.75971093044265,83.63636363636364
13,2019-11-28,31600.0,145,33319.0,-1864.0, , , ,SELL,1.9934704752250383,323.1,368.3809010511087,277.81909894889134,-72.1921921921921,82.6086956521739
14,2019-11-29,29000.0,104,29104.0,0.0,BUY,BUY,BUY, ,2.4709790907683242,319.9,365.0393398268107,274.76066017318925,-118.34733893557411,54.34782608695652
15,2019-12-18,31000.0,142,29104.0,1754.0,SELL, ,SELL,SELL,92.77808890444523,296.0,337.7228953933013,254.27710460669869,33.81437464629306,84.61538461538461
